group_id	user_id	image_id	cluster_image_name	timestamp
32	264	57	139895596481424_5.jpe	1524777012000
17	257	57	139895596481424_5.jpe	1524800731000
148	191	57	139895596481424_5.jpe	1524801071000
151	155	57	139895596481424_5.jpe	1524824318000
121	341	57	139895596481424_5.jpe	1524834917000
29	536	57	139895596481424_5.jpe	1524841687000
68	210	57	139895596481424_5.jpe	1524857814000
145	45	57	139895596481424_5.jpe	1524860335000
8	255	101	139875164269392_5.jpe	1525201210000
12	806	101	139875164269392_5.jpe	1525902448000
109	320	104	140492801004624.jpe	1527383972000
109	320	103	140492857794832.jpe	1527383979000
77	269	103	140492857794832.jpe	1527640327000
77	269	104	140492801004624.jpe	1527640491000
102	166	57	139895596481424_5.jpe	1532232323000
3	161	22	140067876230160.jpe	1532832374000
176	314	22	140067876230160.jpe	1532967379000
36	465	22	140067876230160.jpe	1532987238000
95	465	22	140067876230160.jpe	1532987368000
111	430	51	139902213105424_7.jpe	1532996246000
111	430	12	140216935626000.jpe	1532996264000
176	748	51	139902213105424_7.jpe	1532996804000
176	748	12	140216935626000.jpe	1532996815000
176	748	51	139902213105424_7.jpe	1532996908000
176	897	51	139902213105424_7.jpe	1532997947000
176	897	12	140216935626000.jpe	1532997948000
15	458	51	139902213105424_7.jpe	1533001350000
15	458	12	140216935626000.jpe	1533001483000
15	458	22	140067876230160.jpe	1533002953000
8	458	51	139902213105424_7.jpe	1533006591000
8	458	12	140216935626000.jpe	1533006711000
8	458	22	140067876230160.jpe	1533007471000
120	666	22	140067876230160.jpe	1533012513000
120	666	12	140216935626000.jpe	1533012526000
76	24	51	139902213105424_7.jpe	1533056566000
59	711	22	140067876230160.jpe	1533064728000
51	711	22	140067876230160.jpe	1533064780000
64	711	22	140067876230160.jpe	1533064834000
26	674	12	140216935626000.jpe	1533081184000
26	674	22	140067876230160.jpe	1533081223000
76	47	104	140492801004624.jpe	1533097666000
76	47	103	140492857794832.jpe	1533097708000
176	322	22	140067876230160.jpe	1533124953000
176	659	51	139902213105424_7.jpe	1533126229000
59	254	22	140067876230160.jpe	1533144751000
9	254	22	140067876230160.jpe	1533144832000
3	161	51	139902213105424_7.jpe	1533145578000
3	161	12	140216935626000.jpe	1533145583000
3	161	22	140067876230160.jpe	1533145587000
111	421	101	139875164269392_5.jpe	1533151787000
43	392	22	140067876230160.jpe	1533162600000
35	622	51	139902213105424_7.jpe	1533174956000
35	622	22	140067876230160.jpe	1533174957000
35	622	12	140216935626000.jpe	1533174959000
1	518	22	140067876230160.jpe	1533178132000
148	259	12	140216935626000.jpe	1533178245000
148	259	51	139902213105424_7.jpe	1533178250000
148	259	22	140067876230160.jpe	1533178255000
176	710	51	139902213105424_7.jpe	1533192521000
176	710	12	140216935626000.jpe	1533192528000
153	446	51	139902213105424_7.jpe	1533215392000
153	446	22	140067876230160.jpe	1533215403000
153	446	12	140216935626000.jpe	1533215428000
43	133	12	140216935626000.jpe	1533309774000
176	683	12	140216935626000.jpe	1533313576000
176	683	51	139902213105424_7.jpe	1533313637000
140	228	51	139902213105424_7.jpe	1533321034000
140	228	22	140067876230160.jpe	1533322106000
95	733	51	139902213105424_7.jpe	1533322822000
76	633	51	139902213105424_7.jpe	1533322852000
76	633	12	140216935626000.jpe	1533322984000
76	633	22	140067876230160.jpe	1533323010000
140	228	12	140216935626000.jpe	1533324064000
28	749	51	139902213105424_7.jpe	1533341149000
28	749	12	140216935626000.jpe	1533341183000
28	749	22	140067876230160.jpe	1533341191000
51	613	51	139902213105424_7.jpe	1533367395000
51	613	12	140216935626000.jpe	1533367400000
51	613	22	140067876230160.jpe	1533367401000
132	647	12	140216935626000.jpe	1533370919000
176	831	51	139902213105424_7.jpe	1533391091000
176	831	12	140216935626000.jpe	1533391142000
176	831	22	140067876230160.jpe	1533391213000
176	464	51	139902213105424_7.jpe	1533397478000
176	464	12	140216935626000.jpe	1533397508000
43	768	22	140067876230160.jpe	1533442876000
43	768	12	140216935626000.jpe	1533442908000
43	768	51	139902213105424_7.jpe	1533442920000
61	288	22	140067876230160.jpe	1533464957000
61	288	12	140216935626000.jpe	1533464957000
61	288	51	139902213105424_7.jpe	1533464959000
176	787	22	140067876230160.jpe	1533474586000
176	787	12	140216935626000.jpe	1533474657000
176	787	51	139902213105424_7.jpe	1533474955000
144	743	22	140067876230160.jpe	1533493704000
176	895	101	139875164269392_5.jpe	1533494608000
43	330	51	139902213105424_7.jpe	1533510763000
43	330	51	139902213105424_7.jpe	1533512781000
148	658	22	140067876230160.jpe	1533516184000
43	752	22	140067876230160.jpe	1533532333000
144	432	12	140216935626000.jpe	1533559824000
144	432	22	140067876230160.jpe	1533560293000
144	432	51	139902213105424_7.jpe	1533564985000
64	704	22	140067876230160.jpe	1533583838000
127	704	22	140067876230160.jpe	1533583883000
61	872	12	140216935626000.jpe	1533594021000
61	872	22	140067876230160.jpe	1533594024000
61	872	51	139902213105424_7.jpe	1533594043000
176	710	101	139875164269392_5.jpe	1533619485000
145	345	22	140067876230160.jpe	1533632700000
145	345	51	139902213105424_7.jpe	1533632717000
43	143	22	140067876230160.jpe	1533660267000
7	227	51	139902213105424_7.jpe	1533723833000
7	227	22	140067876230160.jpe	1533723860000
43	746	22	140067876230160.jpe	1533727207000
43	746	51	139902213105424_7.jpe	1533727252000
104	453	22	140067876230160.jpe	1533765243000
176	512	22	140067876230160.jpe	1533792749000
176	635	22	140067876230160.jpe	1533821532000
120	96	101	139875164269392_5.jpe	1533833710000
132	326	101	139875164269392_5.jpe	1533920577000
176	427	101	139875164269392_5.jpe	1533995268000
