group_id	user_id	image_id	cluster_image_name	timestamp
205	1216	83	139770154092560.jpe	1524688533000
41	1437	196	140244230083536.jpe	1524701609000
7	295	83	139770154092560.jpe	1524701775000
7	295	289	140241987597008.jpe	1524701805000
7	295	196	140244230083536.jpe	1524701810000
220	1434	196	140244230083536.jpe	1524703142000
19	1217	83	139770154092560.jpe	1524763948000
19	1217	196	140244230083536.jpe	1524763974000
19	1217	289	140241987597008.jpe	1524763978000
221	1435	196	140244230083536.jpe	1524796124000
17	257	196	140244230083536.jpe	1524797481000
8	1436	196	140244230083536.jpe	1524842591000
8	1438	196	140244230083536.jpe	1524842606000
8	1436	196	140244230083536.jpe	1524843755000
136	135	277	140306040059600.jpe	1525048916000
8	255	47	139784449651920.jpe	1525197256000
65	1078	28	139857829190992.jpe	1525384200000
61	1218	196	140244230083536.jpe	1525479181000
61	1218	83	139770154092560.jpe	1525479182000
61	1218	289	140241987597008.jpe	1525479184000
99	177	24	140199890312400_2.jpe	1525734097000
12	806	47	139784449651920.jpe	1525898796000
8	970	24	140199890312400_2.jpe	1526113971000
8	970	24	140199890312400_2.jpe	1526134545000
145	972	24	140199890312400_2.jpe	1526141765000
3	973	24	140199890312400_2.jpe	1526344007000
7	971	24	140199890312400_2.jpe	1527165182000
223	1490	231	140369087619152_5.jpe	1527208813000
129	1491	231	140369087619152_5.jpe	1527556545000
33	1468	219	140044693202576_7.jpe	1527558103000
37	1494	231	140369087619152_5.jpe	1527599497000
213	1496	231	140369087619152_5.jpe	1527609973000
191	985	231	140369087619152_5.jpe	1527610001000
214	1493	231	140369087619152_5.jpe	1527612187000
7	763	231	140369087619152_5.jpe	1527623182000
224	1495	231	140369087619152_5.jpe	1527629562000
19	1492	231	140369087619152_5.jpe	1527714347000
33	1137	47	139784449651920.jpe	1528169157000
100	922	1	140151084535056_4.jpe	1532044687000
123	986	25	140369075488720.jpe	1532189504000
191	985	25	140369075488720.jpe	1532309272000
3	140	277	140306040059600.jpe	1532313367000
64	959	17	139711398043280_10.jpe	1532315484000
9	959	17	139711398043280_10.jpe	1532315512000
69	959	17	139711398043280_10.jpe	1532315938000
28	987	25	140369075488720.jpe	1532404854000
177	1571	277	140306040059600.jpe	1532472598000
38	504	277	140306040059600.jpe	1532578138000
43	1209	80	139819258488208_2.jpe	1532624277000
95	1208	80	139819258488208_2.jpe	1532658502000
43	1210	80	139819258488208_2.jpe	1532718631000
50	234	150	140450449957584_4.jpe	1532815334000
49	248	150	140450449957584_4.jpe	1532913107000
35	184	150	140450449957584_4.jpe	1532968923000
176	322	150	140450449957584_4.jpe	1532973957000
111	421	47	139784449651920.jpe	1533148218000
95	1107	28	139857829190992.jpe	1533220413000
28	1525	249	140542490215824_40.jpe	1533293544000
176	895	47	139784449651920.jpe	1533490905000
43	1139	47	139784449651920.jpe	1533509917000
43	1138	47	139784449651920.jpe	1533514134000
43	582	28	139857829190992.jpe	1533564063000
43	1138	47	139784449651920.jpe	1533589904000
180	1103	28	139857829190992.jpe	1533647735000
8	1191	149	139875150049104_12.jpe	1533659343000
36	1099	28	139857829190992.jpe	1533684930000
95	1099	28	139857829190992.jpe	1533684937000
49	248	28	139857829190992.jpe	1533732970000
43	1100	28	139857829190992.jpe	1533749646000
43	133	28	139857829190992.jpe	1533757917000
177	652	28	139857829190992.jpe	1533758969000
38	1101	28	139857829190992.jpe	1533811949000
59	1104	28	139857829190992.jpe	1533824480000
120	96	47	139784449651920.jpe	1533830090000
95	530	28	139857829190992.jpe	1533869297000
153	530	28	139857829190992.jpe	1533869298000
132	326	47	139784449651920.jpe	1533917018000
43	1521	249	140542490215824_40.jpe	1533927181000
176	1102	28	139857829190992.jpe	1533940758000
7	1105	28	139857829190992.jpe	1533944428000
162	240	28	139857829190992.jpe	1533955468000
176	427	47	139784449651920.jpe	1533985527000
161	992	28	139857829190992.jpe	1534022775000
144	1524	249	140542490215824_40.jpe	1534251266000
43	245	47	139784449651920.jpe	1534285707000
179	818	47	139784449651920.jpe	1534288132000
120	539	239	140677093757200_9.jpe	1534289703000
173	601	47	139784449651920.jpe	1534291298000
37	830	47	139784449651920.jpe	1534301439000
43	329	47	139784449651920.jpe	1534302999000
162	179	47	139784449651920.jpe	1534345040000
43	1141	47	139784449651920.jpe	1534350239000
68	1098	28	139857829190992.jpe	1534364969000
1	1142	47	139784449651920.jpe	1534365435000
203	1140	47	139784449651920.jpe	1534369242000
169	1087	38	139939912916176.jpe	1534377402000
64	515	239	140677093757200_9.jpe	1534379670000
176	4	47	139784449651920.jpe	1534381063000
76	699	239	140677093757200_9.jpe	1534381240000
197	1316	130	140622561867984.jpe	1534391548000
51	1505	239	140677093757200_9.jpe	1534394042000
180	439	47	139784449651920.jpe	1534405170000
51	1522	249	140542490215824_40.jpe	1534413656000
51	332	47	139784449651920.jpe	1534419186000
120	666	47	139784449651920.jpe	1534420181000
197	1316	130	140622561867984.jpe	1534422673000
41	404	239	140677093757200_9.jpe	1534434479000
25	1476	225	140622556522640_2.jpe	1534439661000
76	260	8	140622556959952_7.jpe	1534440080000
41	404	239	140677093757200_9.jpe	1534450443000
68	1361	158	140676998774096_2.jpe	1534450866000
41	404	239	140677093757200_9.jpe	1534451603000
123	790	103	140677082158160_42.jpe	1534465266000
41	404	103	140677082158160_42.jpe	1534468808000
43	392	73	140311744751760_10.jpe	1534469480000
43	392	73	140311744751760_10.jpe	1534473142000
15	196	9	140296049108240.jpe	1534490664000
111	196	9	140296049108240.jpe	1534490791000
43	392	73	140311744751760_10.jpe	1534496135000
43	392	73	140311744751760_10.jpe	1534496683000
161	527	47	139784449651920.jpe	1534496988000
161	527	47	139784449651920.jpe	1534497127000
3	140	47	139784449651920.jpe	1534506868000
1	308	47	139784449651920.jpe	1534520436000
104	1570	277	140306040059600.jpe	1534525990000
78	912	47	139784449651920.jpe	1534534313000
120	252	47	139784449651920.jpe	1534548675000
153	450	143	140677095130768_13.jpe	1534549596000
36	450	143	140677095130768_13.jpe	1534549620000
43	329	225	140622556522640_2.jpe	1534551763000
76	329	225	140622556522640_2.jpe	1534551801000
123	1473	225	140622556522640_2.jpe	1534552787000
1	1334	208	140676872380752.jpe	1534561838000
76	1450	208	140676872380752.jpe	1534589198000
77	1259	103	140677082158160_42.jpe	1534589939000
76	844	47	139784449651920.jpe	1534596799000
76	931	7	139878426042512_6.jpe	1534598750000
59	736	277	140306040059600.jpe	1534607045000
15	1368	161	140677082158480_21.jpe	1534608105000
176	1449	208	140676872380752.jpe	1534610429000
15	670	103	140677082158160_42.jpe	1534612378000
95	1099	50	140677082160720_34.jpe	1534614107000
36	1099	50	140677082160720_34.jpe	1534614108000
123	1475	225	140622556522640_2.jpe	1534614170000
59	613	17	139711398043280_10.jpe	1534621775000
51	613	17	139711398043280_10.jpe	1534621776000
70	1504	239	140677093757200_9.jpe	1534630213000
169	1367	161	140677082158480_21.jpe	1534631478000
35	184	7	139878426042512_6.jpe	1534640607000
23	614	103	140677082158160_42.jpe	1534652192000
103	1289	111	140622537913488_2.jpe	1534680614000
113	164	47	139784449651920.jpe	1534683850000
203	1472	223	140677119883600_16.jpe	1534688554000
113	164	47	139784449651920.jpe	1534689008000
113	164	47	139784449651920.jpe	1534689305000
7	898	47	139784449651920.jpe	1534694485000
86	585	47	139784449651920.jpe	1534697824000
42	1472	223	140677119883600_16.jpe	1534699346000
177	765	47	139784449651920.jpe	1534701499000
176	867	47	139784449651920.jpe	1534713143000
51	1526	249	140542490215824_40.jpe	1534720066000
76	292	111	140622537913488_2.jpe	1534722827000
76	292	111	140622537913488_2.jpe	1534722889000
50	91	47	139784449651920.jpe	1534725664000
51	1580	286	140677065026960_2.jpe	1534731259000
15	1580	286	140677065026960_2.jpe	1534731782000
99	177	239	140677093757200_9.jpe	1534776527000
100	1591	293	140622557601232_4.jpe	1534804431000
129	263	47	139784449651920.jpe	1534840527000
86	1444	202	140622533835536.jpe	1534865639000
120	457	150	140450449957584_4.jpe	1534867981000
36	1125	38	139939912916176.jpe	1534872314000
65	1590	293	140622557601232_4.jpe	1534872961000
226	1590	293	140622557601232_4.jpe	1534872962000
35	184	160	140296049109968_7.jpe	1534876110000
43	133	38	139939912916176.jpe	1534878420000
186	932	8	140622556959952_7.jpe	1534879710000
186	932	8	140622556959952_7.jpe	1534880366000
92	579	202	140622533835536.jpe	1534880752000
176	528	47	139784449651920.jpe	1534883392000
50	234	38	139939912916176.jpe	1534889490000
161	325	150	140450449957584_4.jpe	1534892022000
64	148	42	140296049215504_2.jpe	1534897429000
3	161	38	139939912916176.jpe	1534898274000
78	912	160	140296049109968_7.jpe	1534899508000
76	1124	38	139939912916176.jpe	1534899642000
35	622	38	139939912916176.jpe	1534941377000
145	919	65	140512911325904_2.jpe	1534949702000
19	517	47	139784449651920.jpe	1534964964000
43	392	73	140311744751760_10.jpe	1534981728000
86	1182	58	139744699960784.jpe	1534983975000
120	9	47	139784449651920.jpe	1534984092000
28	1106	28	139857829190992.jpe	1534986023000
76	329	58	139744699960784.jpe	1534987908000
54	1123	38	139939912916176.jpe	1534990941000
145	919	65	140512911325904_2.jpe	1534999713000
43	746	65	140512911325904_2.jpe	1535020855000
43	1523	249	140542490215824_40.jpe	1535026598000
86	1481	230	139939821029328.jpe	1535031297000
43	1190	65	140512911325904_2.jpe	1535031557000
23	1482	230	139939821029328.jpe	1535033758000
1	1126	38	139939912916176.jpe	1535033944000
6	871	160	140296049109968_7.jpe	1535036027000
95	550	47	139784449651920.jpe	1535037456000
43	1523	249	140542490215824_40.jpe	1535039401000
36	550	47	139784449651920.jpe	1535044607000
7	555	58	139744699960784.jpe	1535064187000
43	1474	225	140622556522640_2.jpe	1535146071000
99	1365	160	140296049109968_7.jpe	1535146622000
148	259	299	140296060685136_14.jpe	1535150711000
176	270	58	139744699960784.jpe	1535168240000
41	1372	164	140296049110864.jpe	1535171092000
123	902	47	139784449651920.jpe	1535190061000
123	902	47	139784449651920.jpe	1535190127000
43	133	9	140296049108240.jpe	1535192587000
64	415	75	140296084314512_4.jpe	1535198446000
15	415	75	140296084314512_4.jpe	1535198515000
60	415	75	140296084314512_4.jpe	1535198516000
41	1363	160	140296049109968_7.jpe	1535204026000
43	1373	164	140296049110864.jpe	1535207101000
135	1119	36	140292227937296_3.jpe	1535210667000
68	1131	42	140296049215504_2.jpe	1535217666000
25	1120	36	140292227937296_3.jpe	1535220843000
212	1296	117	140108412802256_4.jpe	1535226238000
213	1296	117	140108412802256_4.jpe	1535226245000
214	1296	117	140108412802256_4.jpe	1535226310000
129	1572	280	140292227937616_3.jpe	1535226603000
176	1132	42	140296049215504_2.jpe	1535228094000
41	793	80	139819258488208_2.jpe	1535229173000
25	1120	36	140292227937296_3.jpe	1535229449000
25	1121	36	140292227937296_3.jpe	1535230391000
76	1211	80	139819258488208_2.jpe	1535237636000
25	1574	280	140292227937616_3.jpe	1535238393000
173	1480	296	140296049215056_8.jpe	1535241254000
120	1364	160	140296049109968_7.jpe	1535241500000
145	236	277	140306040059600.jpe	1535243808000
78	912	47	139784449651920.jpe	1535265437000
129	1573	280	140292227937616_3.jpe	1535274753000
41	1254	97	140296019069968_4.jpe	1535282229000
41	404	246	140296019067664_5.jpe	1535282734000
32	188	14	140296049215056_11.jpe	1535291996000
32	723	97	140296019069968_4.jpe	1535293812000
157	723	97	140296019069968_4.jpe	1535294229000
145	723	97	140296019069968_4.jpe	1535294229000
41	404	246	140296019067664_5.jpe	1535295040000
91	1366	160	140296049109968_7.jpe	1535299384000
119	670	160	140296049109968_7.jpe	1535307310000
119	670	47	139784449651920.jpe	1535312379000
3	140	47	139784449651920.jpe	1535339589000
95	95	299	140296060685136_14.jpe	1535387353000
36	95	299	140296060685136_14.jpe	1535387427000
64	670	47	139784449651920.jpe	1535390539000
33	65	38	139939912916176.jpe	1535398571000
68	705	296	140296049215056_8.jpe	1535409496000
8	472	14	140296049215056_11.jpe	1535418495000
68	472	14	140296049215056_11.jpe	1535419571000
176	1257	102	139788458697808.jpe	1535651656000
16	1333	233	139788460328656.jpe	1535653182000
127	1333	233	139788460328656.jpe	1535653182000
120	1333	233	139788460328656.jpe	1535653192000
120	1333	138	139788460327120_2.jpe	1535653246000
127	1333	138	139788460327120_2.jpe	1535653276000
16	1333	138	139788460327120_2.jpe	1535653290000
99	177	102	139788458697808.jpe	1535654475000
50	581	166	140270409108624.jpe	1535666360000
50	234	166	140270409108624.jpe	1535666439000
43	746	245	139900393518096.jpe	1535683324000
6	1258	102	139788458697808.jpe	1535713909000
95	235	171	139875135128656.jpe	1535743703000
36	235	171	139875135128656.jpe	1535743718000
64	1216	229	139875064653072.jpe	1535745164000
43	1203	77	139875150046672_6.jpe	1535756030000
43	1202	77	139875150046672_6.jpe	1535756184000
88	1204	77	139875150046672_6.jpe	1535757450000
48	1480	229	139875064653072.jpe	1535763235000
41	1511	245	139900393518096.jpe	1535765452000
120	388	229	139875064653072.jpe	1535766337000
36	1215	82	139875150046608_23.jpe	1535773131000
28	564	47	139784449651920.jpe	1535796964000
3	347	245	139900393518096.jpe	1535799737000
3	347	28	139857829190992.jpe	1535799902000
176	1374	165	139875064680528.jpe	1535802386000
61	872	28	139857829190992.jpe	1535805315000
61	872	245	139900393518096.jpe	1535805369000
120	1469	220	139875150048848_11.jpe	1535806566000
120	1470	220	139875150048848_11.jpe	1535807234000
8	1093	245	139900393518096.jpe	1535811366000
8	1093	28	139857829190992.jpe	1535811379000
153	1291	113	139875150048144_16.jpe	1535813558000
95	1291	113	139875150048144_16.jpe	1535813666000
36	1291	113	139875150048144_16.jpe	1535813817000
64	1214	82	139875150046608_23.jpe	1535814944000
33	1350	149	139875150049104_12.jpe	1535819312000
120	617	82	139875150046608_23.jpe	1535820492000
69	617	82	139875150046608_23.jpe	1535820495000
156	617	82	139875150046608_23.jpe	1535820498000
1	570	47	139784449651920.jpe	1535827703000
36	623	165	139875064680528.jpe	1535828141000
95	623	165	139875064680528.jpe	1535828178000
28	570	47	139784449651920.jpe	1535828566000
8	246	214	140511914979792_13.jpe	1535830407000
48	1136	46	139875134027024.jpe	1535838438000
95	680	134	139875092251216.jpe	1535839146000
16	431	220	139875150048848_11.jpe	1535847064000
36	680	134	139875092251216.jpe	1535847334000
54	1551	260	139875092091600.jpe	1535849831000
129	1321	134	139875092251216.jpe	1535852396000
54	1552	260	139875092091600.jpe	1535860372000
54	1553	260	139875092091600.jpe	1535877949000
36	1291	113	139875150048144_16.jpe	1535882053000
153	1291	113	139875150048144_16.jpe	1535882078000
95	1291	113	139875150048144_16.jpe	1535883187000
78	912	229	139875064653072.jpe	1535889732000
148	1082	245	139900393518096.jpe	1535892769000
148	1082	245	139900393518096.jpe	1535892769000
148	1082	28	139857829190992.jpe	1535893309000
148	1082	28	139857829190992.jpe	1535893309000
64	148	134	139875092251216.jpe	1535893689000
111	103	150	140450449957584_4.jpe	1535895617000
8	246	214	140511914979792_13.jpe	1535899519000
123	1568	276	139875161018512_27.jpe	1535905328000
49	1094	245	139900393518096.jpe	1535905530000
49	1094	28	139857829190992.jpe	1535905531000
123	1568	276	139875161018512_27.jpe	1535905661000
123	1568	276	139875161018512_27.jpe	1535905749000
123	1568	276	139875161018512_27.jpe	1535906211000
38	1101	176	139656528742672_2.jpe	1535906415000
123	1568	276	139875161018512_27.jpe	1535908550000
111	196	261	140231408684688.jpe	1535910890000
99	1513	245	139900393518096.jpe	1535911217000
43	330	47	139784449651920.jpe	1535913826000
15	415	298	139875150046928_19.jpe	1535921899000
64	415	298	139875150046928_19.jpe	1535921900000
176	606	176	139656528742672_2.jpe	1535924405000
80	602	245	139900393518096.jpe	1535935316000
80	602	28	139857829190992.jpe	1535935317000
3	140	176	139656528742672_2.jpe	1535936228000
95	450	46	139875134027024.jpe	1535937548000
36	450	46	139875134027024.jpe	1535937549000
153	450	46	139875134027024.jpe	1535937549000
176	616	176	139656528742672_2.jpe	1535966980000
78	912	176	139656528742672_2.jpe	1535967315000
38	1463	245	139900393518096.jpe	1535971325000
120	1323	134	139875092251216.jpe	1535979175000
132	21	176	139656528742672_2.jpe	1535980476000
78	912	258	140244419125200_5.jpe	1535987582000
49	248	196	140244230083536.jpe	1535990420000
49	248	83	139770154092560.jpe	1535990424000
49	248	289	140241987597008.jpe	1535990440000
